# ells, ksz, tsz, cib, radio
2.100000000000000000e+01 1.101430417006068595e-03 1.476421706179015334e-03 6.331114640914647347e-07 1.795175795626415836e-08
2.200000000000000000e+01 1.011322166846120299e-03 1.348037209989535806e-03 5.942867952054005437e-07 1.714525587742039409e-08
2.300000000000000000e+01 9.322407789945302099e-04 1.235700775823741137e-03 5.602980927035037653e-07 1.643463738939397437e-08
2.400000000000000000e+01 8.624413393097078587e-04 1.136844713757841812e-03 5.303676004138483665e-07 1.580472987111006844e-08
2.500000000000000000e+01 8.005122574663962615e-04 1.049395120391853880e-03 5.038883304518176159e-07 1.524321622994332507e-08
2.600000000000000000e+01 7.453003717008571151e-04 9.716621485109758509e-04 4.803287345681068247e-07 1.473974981210331131e-08
2.700000000000000000e+01 6.958584982821884504e-04 9.022577093316204097e-04 4.592787763599760596e-07 1.428611803065805237e-08
2.800000000000000000e+01 6.514001456677077180e-04 8.400330397225430840e-04 4.403829915786297797e-07 1.387521297792157030e-08
2.900000000000000000e+01 6.112702092523121132e-04 7.840308370743736969e-04 4.233651671803446996e-07 1.350151221278795328e-08
3.000000000000000000e+01 5.749171780971565815e-04 7.334482024244139706e-04 4.079739827852095594e-07 1.316013063930296435e-08
3.100000000000000000e+01 5.418758762209671329e-04 6.876076897728881313e-04 3.940051248909678181e-07 1.284718513825481065e-08
3.200000000000000000e+01 5.117509781993679133e-04 6.459344964533191274e-04 3.812825731231620315e-07 1.255912173187872446e-08
3.300000000000000000e+01 4.842040343666457200e-04 6.079383496031239356e-04 3.696651959304917796e-07 1.229282502969960401e-08
3.400000000000000000e+01 4.589454540560584223e-04 5.731990153400882883e-04 3.590137286355311568e-07 1.204599040659991964e-08
3.500000000000000000e+01 4.357245904028202925e-04 5.413546255989722241e-04 3.492216189545739899e-07 1.181637990218164757e-08
3.600000000000000000e+01 4.143249830993974477e-04 5.120922134044332465e-04 3.401936647220456995e-07 1.160185269963251141e-08
3.700000000000000000e+01 3.945583508219989324e-04 4.851399916463051552e-04 3.318437945493349435e-07 1.140124746821025805e-08
3.800000000000000000e+01 3.762597401056506918e-04 4.602610177157254287e-04 3.241020252681021644e-07 1.121295454782422097e-08
3.900000000000000000e+01 3.592853196178893787e-04 4.372479668299391708e-04 3.168987586201958100e-07 1.103561743454345693e-08
4.000000000000000000e+01 3.435079220638728487e-04 4.159187977162835301e-04 3.101821689647485223e-07 1.086851654950448258e-08
4.100000000000000000e+01 3.288160022950549380e-04 3.961131406821748061e-04 3.039016377161958679e-07 1.071028968849765586e-08
4.200000000000000000e+01 3.151102156882216337e-04 3.776892736737016022e-04 2.980100085654493201e-07 1.056044940574472394e-08
4.300000000000000000e+01 3.023028240559050631e-04 3.605215794158060649e-04 2.924690065977935209e-07 1.041787532815730018e-08
4.400000000000000000e+01 2.903157105460127895e-04 3.444983981084368354e-04 2.872416703125965492e-07 1.028205495906661337e-08
4.500000000000000000e+01 2.790787441845166768e-04 3.295202068863309591e-04 2.822989839653000781e-07 1.015249129730483873e-08
4.600000000000000000e+01 2.685296781819067270e-04 3.154980704230828320e-04 2.776142138737555582e-07 1.002854063570960622e-08
4.700000000000000000e+01 2.586121710151268881e-04 3.023523174887876824e-04 2.731593990520763094e-07 9.909647125715274152e-09
4.800000000000000000e+01 2.492760295822530866e-04 2.900114065708779966e-04 2.689137828235601275e-07 9.795558166061635059e-09
4.900000000000000000e+01 2.404755572074707332e-04 2.784109503080428550e-04 2.648569031144697194e-07 9.685707999892047376e-09
5.000000000000000000e+01 2.321698073486851989e-04 2.674928738253745057e-04 2.609676765018001327e-07 9.579869916518970846e-09
5.100000000000000000e+01 2.243217090899246721e-04 2.572046863705524343e-04 2.572316673358146755e-07 9.477797947970975438e-09
5.200000000000000000e+01 2.168973389286372110e-04 2.474988491490221691e-04 2.536330679281776286e-07 9.379010637064857354e-09
5.300000000000000000e+01 2.098662578108515648e-04 2.383322251064657834e-04 2.501588803044587121e-07 9.283346618641164392e-09
5.400000000000000000e+01 2.032003782611115127e-04 2.296655987389579264e-04 2.467960404692091313e-07 9.190566834242377523e-09
5.500000000000000000e+01 1.968744438970240773e-04 2.214632559268522784e-04 2.435378035790013289e-07 9.100411843649003396e-09
5.600000000000000000e+01 1.908650315738340112e-04 2.136926153680153602e-04 2.403691479776365906e-07 9.012721028753598580e-09
5.700000000000000000e+01 1.851509601828560229e-04 2.063239044932562089e-04 2.372833731879594410e-07 8.927254721513921772e-09
5.800000000000000000e+01 1.797128106755859357e-04 1.993298738324678803e-04 2.342727928920542664e-07 8.843925988352384646e-09
5.900000000000000000e+01 1.745325230826833441e-04 1.926855447047189410e-04 2.313315254653016352e-07 8.762515888305050826e-09
6.000000000000000000e+01 1.695937965792437569e-04 1.863679858619412633e-04 2.284527871908214973e-07 8.682982042429124357e-09
6.100000000000000000e+01 1.648813297358212439e-04 1.803561153502657491e-04 2.256313186406846894e-07 8.605143513059245651e-09
6.200000000000000000e+01 1.603812987271400787e-04 1.746305243867652388e-04 2.228599707052593474e-07 8.528857009029026003e-09
6.300000000000000000e+01 1.560806662720865576e-04 1.691733204996788268e-04 2.201352678871013855e-07 8.454095294772059448e-09
6.400000000000000000e+01 1.519675817283406324e-04 1.639679875612271823e-04 2.174536209390586904e-07 8.380679575101661245e-09
6.500000000000000000e+01 1.480310731368834508e-04 1.589992606654324085e-04 2.148126662462457246e-07 8.308621098640479173e-09
6.600000000000000000e+01 1.442607863722465125e-04 1.542530140784045952e-04 2.122085132852018413e-07 8.237802738371342619e-09
6.700000000000000000e+01 1.406473575736187556e-04 1.497161607231573726e-04 2.096398243513257481e-07 8.168136152198555384e-09
6.800000000000000000e+01 1.371818530874362499e-04 1.453765618616165980e-04 2.071027923169397292e-07 8.099544455115024453e-09
6.900000000000000000e+01 1.338561942968082843e-04 1.412229458084275462e-04 2.045957803123368717e-07 8.032054906214592743e-09
7.000000000000000000e+01 1.306626382363034107e-04 1.372448346588943705e-04 2.021181440713288331e-07 7.965509161412205456e-09
7.100000000000000000e+01 1.275941325538482130e-04 1.334324838558534744e-04 1.996671186167178746e-07 7.899874618547923148e-09
7.200000000000000000e+01 1.246440961534635902e-04 1.297768117062359026e-04 1.972416536367798074e-07 7.835133177350980674e-09
7.300000000000000000e+01 1.218062315741297373e-04 1.262693503430614261e-04 1.948415394562731838e-07 7.771226369501026886e-09
7.400000000000000000e+01 1.190748516632039413e-04 1.229021966520176239e-04 1.924685359820344168e-07 7.708145275899887974e-09
7.500000000000000000e+01 1.164444421599343836e-04 1.196679677226286252e-04 1.901184899018179357e-07 7.645859389839893686e-09
7.600000000000000000e+01 1.139100280380996049e-04 1.165597603544561348e-04 1.877924759698982734e-07 7.584298035673099606e-09
7.700000000000000000e+01 1.114667628471200061e-04 1.135711142029913976e-04 1.854909216541331126e-07 7.523441737573191175e-09
7.800000000000000000e+01 1.091102355145483243e-04 1.106959781972476732e-04 1.832135215064947575e-07 7.463232546168381188e-09
7.900000000000000000e+01 1.068363030075917468e-04 1.079286799024930577e-04 1.809594739966588503e-07 7.403680178069187355e-09
8.000000000000000000e+01 1.046409457698802052e-04 1.052638975378734893e-04 1.787300700435721446e-07 7.344780751152607709e-09
8.100000000000000000e+01 1.025205498880091379e-04 1.026966343905542288e-04 1.765247463729804292e-07 7.286467209109739158e-09
8.200000000000000000e+01 1.004715524444609124e-04 1.002221953960383152e-04 1.743447977238847282e-07 7.228824291073364603e-09
8.300000000000000000e+01 9.849071708517563616e-05 9.783616567900732758e-05 1.721895054619045491e-07 7.171644854400957948e-09
8.400000000000000000e+01 9.657499205674758311e-05 9.553439087080166478e-05 1.700610247541041794e-07 7.115000016846612167e-09
8.500000000000000000e+01 9.472138671217807094e-05 9.331295903888903805e-05 1.679587030421189085e-07 7.058903017323636351e-09
8.600000000000000000e+01 9.292722542546841226e-05 9.116818408067709834e-05 1.658840991302892250e-07 7.003317051850115230e-09
8.700000000000000000e+01 9.118983727980649226e-05 8.909659044908876697e-05 1.638362758811981043e-07 6.948239585733870605e-09
8.800000000000000000e+01 8.950683835310669614e-05 8.709489909067303639e-05 1.618172788423921083e-07 6.893624706170982304e-09
8.900000000000000000e+01 8.787583664948509247e-05 8.516001448887830917e-05 1.598266545244438718e-07 6.839540161919778698e-09
9.000000000000000000e+01 8.629466973665685049e-05 8.328901271564997965e-05 1.578662759642664469e-07 6.785903030264709750e-09
9.100000000000000000e+01 8.476128868974589317e-05 8.147913040388388226e-05 1.559350716549570752e-07 6.732744817490425034e-09
9.200000000000000000e+01 8.327365620516555061e-05 7.972775456161110112e-05 1.540346920166297816e-07 6.680076087054139049e-09
9.300000000000000000e+01 8.182996639884804971e-05 7.803241315622479581e-05 1.521650809418499067e-07 6.627845752263963878e-09
9.400000000000000000e+01 8.042838296075849238e-05 7.639076640369249504e-05 1.503270493647801245e-07 6.576101270701164753e-09
9.500000000000000000e+01 7.906728329023100235e-05 7.480059870361806989e-05 1.485201283031504153e-07 6.524817687917915739e-09
9.600000000000000000e+01 7.774500828906256023e-05 7.325981116630843728e-05 1.467455150811031898e-07 6.474055575748588230e-09
9.700000000000000000e+01 7.646006845872024284e-05 7.176641468273131305e-05 1.450022175710017015e-07 6.423755072189999047e-09
9.800000000000000000e+01 7.521104664357116222e-05 7.031852349248659617e-05 1.432917513307810106e-07 6.373969358961763950e-09
9.900000000000000000e+01 7.399651193098700965e-05 6.891434920870975766e-05 1.416129220727940848e-07 6.324681799858178929e-09
1.000000000000000000e+02 7.281521107763410392e-05 6.755219526223272663e-05 1.399667201127938342e-07 6.275909024755315624e-09
1.010000000000000000e+02 7.166584405600352932e-05 6.623045173038956629e-05 1.383520637650025284e-07 6.227639667643652146e-09
1.020000000000000000e+02 7.054727672113851719e-05 6.494759051861218567e-05 1.367696537433124510e-07 6.179916178657737989e-09
1.030000000000000000e+02 6.945832550533283657e-05 6.370216086544996969e-05 1.352184793483280099e-07 6.132741168849068445e-09
1.040000000000000000e+02 6.839793739871513113e-05 6.249278514390094142e-05 1.336982401630567086e-07 6.086147252720872146e-09
1.050000000000000000e+02 6.736510693273156625e-05 6.131815493398844771e-05 1.322090786166438316e-07 6.040135341699053083e-09
1.060000000000000000e+02 6.635880212856166917e-05 6.017702734338448411e-05 1.307499204665162373e-07 5.994725105988682715e-09
1.070000000000000000e+02 6.537813235630662943e-05 5.906822155459151758e-05 1.293203197038852411e-07 5.949882990320920864e-09
1.080000000000000000e+02 6.442215350750282548e-05 5.799061557877157631e-05 1.279191913936383660e-07 5.905682853690781354e-09
1.090000000000000000e+02 6.349005461698552558e-05 5.694314319777320579e-05 1.265468164072975620e-07 5.862085145479306241e-09
1.100000000000000000e+02 6.258097038808356819e-05 5.592479107727234820e-05 1.252015485345784939e-07 5.819132155431808679e-09
1.110000000000000000e+02 6.169413948032049133e-05 5.493459603522584029e-05 1.238828830457769931e-07 5.776823113297026852e-09
1.120000000000000000e+02 6.082883263169068733e-05 5.397164245105281506e-05 1.225898662100320679e-07 5.735179385223562197e-09
1.130000000000000000e+02 5.998428810491547423e-05 5.303505980211832490e-05 1.213220524339208269e-07 5.694194155218094606e-09
1.140000000000000000e+02 5.915985988824212034e-05 5.212402031520868041e-05 1.200787146676773149e-07 5.653905399329423033e-09
1.150000000000000000e+02 5.835484683026222842e-05 5.123773672176474750e-05 1.188581721459192987e-07 5.614259375436867391e-09
1.160000000000000000e+02 5.756865756579953561e-05 5.037546010668726541e-05 1.176598004758472264e-07 5.575334576263086421e-09
1.170000000000000000e+02 5.680064566593329432e-05 4.953647784155020418e-05 1.164828140166950311e-07 5.537065848193035232e-09
1.180000000000000000e+02 5.605024979666136986e-05 4.872011159405985385e-05 1.153265398395647831e-07 5.499450381290031288e-09
1.190000000000000000e+02 5.531693077115211829e-05 4.792571540657858137e-05 1.141898557603017851e-07 5.462527230209333793e-09
1.200000000000000000e+02 5.460011466893222617e-05 4.715267383749612148e-05 1.130725697152936691e-07 5.426267407949567285e-09
1.210000000000000000e+02 5.389932453327660189e-05 4.640040016017434076e-05 1.119732384191401680e-07 5.390705489580376920e-09
1.220000000000000000e+02 5.321402921105377823e-05 4.566833461511383974e-05 1.108915587453235431e-07 5.355776849607506228e-09
1.230000000000000000e+02 5.254377235260407472e-05 4.495594271188746075e-05 1.098262434484409755e-07 5.321505817448363448e-09
1.240000000000000000e+02 5.188811481866129451e-05 4.426271357825291438e-05 1.087771744201138276e-07 5.287865785125956861e-09
1.250000000000000000e+02 5.124658242984724091e-05 4.358815835468951957e-05 1.077432903962910683e-07 5.254844170896855884e-09
1.260000000000000000e+02 5.061878746640588700e-05 4.293180863339485606e-05 1.067241087659318765e-07 5.222419802969873064e-09
1.270000000000000000e+02 5.000428953114363244e-05 4.229321494152127689e-05 1.057187302783512212e-07 5.190613978448522336e-09
1.280000000000000000e+02 4.940273100688008810e-05 4.167194526912108306e-05 1.047269877849966127e-07 5.159373962851610037e-09
1.290000000000000000e+02 4.881370232358067576e-05 4.106758364289673959e-05 1.037476411434664619e-07 5.128714057659171155e-09
1.300000000000000000e+02 4.823687326681040297e-05 4.047972874741136400e-05 1.027810664265532193e-07 5.098611475505318525e-09
1.310000000000000000e+02 4.767186244012404139e-05 3.990799259589857076e-05 1.018263439878038689e-07 5.069020463168789462e-09
1.320000000000000000e+02 4.711834921938191266e-05 3.935199925321350233e-05 1.008831683671887609e-07 5.039933715251657389e-09
1.330000000000000000e+02 4.657602416467297794e-05 3.881138361378336287e-05 9.995070142108451641e-08 5.011331703318051420e-09
1.340000000000000000e+02 4.604454373928391247e-05 3.828579023764188105e-05 9.902908424166755899e-08 4.983195154843665287e-09
1.350000000000000000e+02 4.552363616617533237e-05 3.777487224776477379e-05 9.811723714855153036e-08 4.955513751394020540e-09
1.360000000000000000e+02 4.501298054915322112e-05 3.727829029196114840e-05 9.721556929017842647e-08 4.928278861483247080e-09
1.370000000000000000e+02 4.451231075704362286e-05 3.679571157251804701e-05 9.632277667087439653e-08 4.901440018078493009e-09
1.380000000000000000e+02 4.402136956208945129e-05 3.632680894664413139e-05 9.543960469864375238e-08 4.875028575812897921e-09
1.390000000000000000e+02 4.353986662491489439e-05 3.587126010051642458e-05 9.456455837374719807e-08 4.848974017363632054e-09
1.400000000000000000e+02 4.306757691429466991e-05 3.542874679940551889e-05 9.369796993456726733e-08 4.823282128113947648e-09
1.410000000000000000e+02 4.260422844216466058e-05 3.499895421594607171e-05 9.283963531910541118e-08 4.797943173763018248e-09
1.420000000000000000e+02 4.214961221492927060e-05 3.458157033813910228e-05 9.198900174937614412e-08 4.772921345476901666e-09
1.430000000000000000e+02 4.170347315545832603e-05 3.417628545812777707e-05 9.114576880287488950e-08 4.748215250340377071e-09
1.440000000000000000e+02 4.126560406120888881e-05 3.378279174219189134e-05 9.031004000663836152e-08 4.723807156950867724e-09
1.450000000000000000e+02 4.083580427800541260e-05 3.340078288176736746e-05 8.948086788608825966e-08 4.699685422063144991e-09
1.460000000000000000e+02 4.041384168046867651e-05 3.302995382462884988e-05 8.865881510153762846e-08 4.675831972656026344e-09
1.470000000000000000e+02 3.999954191549695440e-05 3.267000058468926986e-05 8.784321308911607788e-08 4.652274892869112527e-09
1.480000000000000000e+02 3.959268671750389607e-05 3.232062012818173806e-05 8.703387649198882758e-08 4.628953725297040738e-09
1.490000000000000000e+02 3.919311370298562107e-05 3.198151033331103518e-05 8.623047061562546131e-08 4.605889874071409594e-09
1.500000000000000000e+02 3.880061743234316916e-05 3.165237001980602909e-05 8.543337083068195584e-08 4.583064317967373944e-09
1.510000000000000000e+02 3.841503478665984417e-05 3.133289904418387118e-05 8.464196604648488384e-08 4.560461351113284812e-09
1.520000000000000000e+02 3.803620752454204510e-05 3.102279845596303125e-05 8.385638087945724470e-08 4.538092172741475838e-09
1.530000000000000000e+02 3.766394770272445792e-05 3.072177070954583807e-05 8.307649597119723509e-08 4.515941344961888599e-09
1.540000000000000000e+02 3.729811895848037602e-05 3.042951992604147948e-05 8.230225268614645607e-08 4.494011880784061728e-09
1.550000000000000000e+02 3.693854396690531737e-05 3.014575219892668781e-05 8.153371569065406123e-08 4.472299731303324168e-09
1.560000000000000000e+02 3.658509541430277729e-05 2.987017593714703663e-05 8.077064638474195435e-08 4.450806952129386358e-09
1.570000000000000000e+02 3.623760584003658434e-05 2.960250223905555613e-05 8.001309197139337407e-08 4.429487061139858924e-09
1.580000000000000000e+02 3.589594554767898058e-05 2.934244529046669506e-05 7.926136948689562059e-08 4.408369339674710505e-09
1.590000000000000000e+02 3.555998851478477400e-05 2.908972278007588438e-05 7.851533386650979711e-08 4.387455076172565479e-09
1.600000000000000000e+02 3.522958079957174397e-05 2.884405632555627318e-05 7.777527228912105200e-08 4.366737313402754656e-09
1.610000000000000000e+02 3.490461487479110748e-05 2.860517190379268518e-05 7.704103385891141509e-08 4.346212214387117969e-09
1.620000000000000000e+02 3.458494504071595011e-05 2.837280027894436890e-05 7.631301196750353500e-08 4.325871795718837227e-09
1.630000000000000000e+02 3.427047069102492948e-05 2.814667742233690212e-05 7.559142028566057099e-08 4.305709002451381700e-09
1.640000000000000000e+02 3.396105380980496890e-05 2.792654491856284818e-05 7.487631909633193944e-08 4.285741345520903573e-09
1.650000000000000000e+02 3.365659034954970598e-05 2.771215035261256394e-05 7.416795616560982251e-08 4.265952696825866215e-09
1.660000000000000000e+02 3.335699855041042574e-05 2.750324767335131452e-05 7.346630269893911084e-08 4.246353374726900700e-09
1.670000000000000000e+02 3.306214064566540510e-05 2.729959752919721398e-05 7.277177161807599881e-08 4.226955175052252755e-09
1.680000000000000000e+02 3.277181671704033970e-05 2.710096757242647168e-05 7.208460011043086650e-08 4.207727778486614279e-09
1.690000000000000000e+02 3.248611640690986176e-05 2.690713272912638058e-05 7.140473899964052980e-08 4.188665868440193975e-09
1.700000000000000000e+02 3.220484446201690688e-05 2.671787543242327788e-05 7.073248442978606239e-08 4.169788777865041333e-09
1.710000000000000000e+02 3.192781282422997563e-05 2.653298581722133184e-05 7.006791491841571735e-08 4.151090908099110936e-09
1.720000000000000000e+02 3.165511274790171415e-05 2.635226187528798609e-05 6.941142220993495288e-08 4.132563412679077673e-09
1.730000000000000000e+02 3.138656033043897673e-05 2.617550957010558279e-05 6.876257964356268945e-08 4.114204891772561806e-09
1.740000000000000000e+02 3.112206710040017841e-05 2.600254291146599346e-05 6.812206053648037287e-08 4.096032073090903345e-09
1.750000000000000000e+02 3.086145926891577316e-05 2.583318399030914162e-05 6.748980733765780497e-08 4.078018937331530832e-09
1.760000000000000000e+02 3.060482953334993633e-05 2.566726297479097422e-05 6.686558928190185840e-08 4.060178593709478697e-09
1.770000000000000000e+02 3.035200767356148319e-05 2.550461806900533371e-05 6.624989220226543894e-08 4.042497670644465732e-09
1.780000000000000000e+02 3.010291437773960564e-05 2.534509543617410231e-05 6.564240264327861810e-08 4.024980860115506670e-09
1.790000000000000000e+02 2.985738858407697315e-05 2.518854908845688924e-05 6.504294099329620394e-08 4.007618649328766348e-09
1.800000000000000000e+02 2.961552376670568312e-05 2.503484074581453176e-05 6.445159635861230003e-08 3.990420303185289372e-09
1.810000000000000000e+02 2.937716193490323433e-05 2.488383966658802148e-05 6.386828497410469543e-08 3.973370900417704060e-09
1.820000000000000000e+02 2.914223180807942165e-05 2.473542245262701453e-05 6.329269032448906775e-08 3.956465857498799647e-09
1.830000000000000000e+02 2.891058371570782830e-05 2.458947283192134317e-05 6.272469041495448059e-08 3.939700318353143920e-09
1.840000000000000000e+02 2.868231136943669108e-05 2.444588142175614320e-05 6.216402941131304427e-08 3.923087974620806470e-09
1.850000000000000000e+02 2.845726774646719452e-05 2.430454547543062550e-05 6.161067160721422210e-08 3.906615645085594826e-09
1.860000000000000000e+02 2.823538862906811167e-05 2.416536861555455679e-05 6.106376452841824929e-08 3.890271839491632555e-09
1.870000000000000000e+02 2.801653457650665470e-05 2.402826055687016504e-05 6.052346509571124033e-08 3.874067223839130579e-09
1.880000000000000000e+02 2.780079910255484659e-05 2.389313682144460552e-05 5.998927180375725219e-08 3.857999424347839988e-09
1.890000000000000000e+02 2.758804505297382057e-05 2.375991844894401837e-05 5.946078238657631018e-08 3.842048182757769438e-09
1.900000000000000000e+02 2.737821443903558073e-05 2.362853170453992234e-05 5.893761774419053635e-08 3.826226576583890890e-09
1.910000000000000000e+02 2.717117703610442912e-05 2.349890778681734666e-05 5.841935940433371234e-08 3.810509406712510413e-09
1.920000000000000000e+02 2.696702580981037191e-05 2.337098253785541266e-05 5.790558972224945688e-08 3.794919300105620362e-09
1.930000000000000000e+02 2.676563251291714970e-05 2.324469615744183940e-05 5.739592338768946002e-08 3.779429485237015502e-09
1.940000000000000000e+02 2.656694466531734792e-05 2.311999292316550218e-05 5.688977014026845226e-08 3.764054924711140633e-09
1.950000000000000000e+02 2.637084037060114745e-05 2.299682091791162530e-05 5.638690750345373968e-08 3.748787204723024461e-09
1.960000000000000000e+02 2.617741176589368719e-05 2.287513176606483274e-05 5.588686395465782250e-08 3.733622387831337030e-09
1.970000000000000000e+02 2.598653866699989233e-05 2.275488037951093673e-05 5.538911313141165621e-08 3.718568611110299021e-09
1.980000000000000000e+02 2.579817347813078898e-05 2.263602471432033035e-05 5.489333753194188440e-08 3.703619376069783467e-09
1.990000000000000000e+02 2.561220185077210432e-05 2.251852553879874164e-05 5.439912383550057294e-08 3.688754901873164989e-09
2.000000000000000000e+02 2.542871487067265522e-05 2.240234621340480767e-05 5.390614509937378261e-08 3.673996713503240129e-09
2.010000000000000000e+02 2.524759967344839752e-05 2.228745248286183301e-05 5.341397601572183479e-08 3.659337703384062052e-09
2.020000000000000000e+02 2.506881300496666424e-05 2.217381228063310532e-05 5.292223426411880019e-08 3.644790736271793346e-09
2.030000000000000000e+02 2.489224737653539195e-05 2.206139554578833066e-05 5.243088364113868699e-08 3.630339238727808236e-09
2.040000000000000000e+02 2.471799264699652931e-05 2.195017405216195675e-05 5.193942168154876020e-08 3.616007879923147345e-09
2.050000000000000000e+02 2.454594261514813676e-05 2.184012124959393676e-05 5.144783430497761258e-08 3.601782935095817593e-09
2.060000000000000000e+02 2.437599453386629154e-05 2.173121211694891989e-05 5.095584514597198370e-08 3.587656008362732675e-09
2.070000000000000000e+02 2.420823725040499691e-05 2.162342302653022381e-05 5.046341262499605722e-08 3.573652173004644145e-09
2.080000000000000000e+02 2.404256917541747849e-05 2.151673161944053230e-05 4.997035458742228269e-08 3.559778354312252362e-09
2.090000000000000000e+02 2.387895355055958538e-05 2.141111669138977191e-05 4.947666111460478338e-08 3.546031478732155028e-09
2.100000000000000000e+02 2.371729346895690957e-05 2.130655808841256928e-05 4.898232053298068966e-08 3.532428356831591893e-09
2.110000000000000000e+02 2.355767633349261679e-05 2.120303661193126025e-05 4.848763639003228209e-08 3.518967907950413010e-09
2.120000000000000000e+02 2.340000624258354385e-05 2.110053393258374852e-05 4.799245656844270941e-08 3.505662022734862563e-09
2.130000000000000000e+02 2.324424961674375140e-05 2.099903251222918278e-05 4.749709356298654796e-08 3.492518539431874531e-09
2.140000000000000000e+02 2.309031489471493546e-05 2.089851553354573932e-05 4.700163684598830686e-08 3.479543409671048729e-09
2.150000000000000000e+02 2.293828795103672254e-05 2.079896683664294525e-05 4.650635643479987297e-08 3.466734380297816196e-09
2.160000000000000000e+02 2.278807809750931418e-05 2.070037086212556714e-05 4.601131808211937737e-08 3.454120434529337162e-09
2.170000000000000000e+02 2.263965460463297536e-05 2.060271260006492770e-05 4.551714329400878135e-08 3.441704170161355621e-09
2.180000000000000000e+02 2.249293081567986836e-05 2.050597754435667087e-05 4.502399872246886376e-08 3.429485742157296095e-09
2.190000000000000000e+02 2.234799101582605731e-05 2.041015165196983738e-05 4.453220139617617498e-08 3.417479076760967213e-09
2.200000000000000000e+02 2.220474930651605155e-05 2.031522130662016270e-05 4.404216983505319072e-08 3.405683765557932796e-09
2.210000000000000000e+02 2.206317751871349642e-05 2.022117328642971540e-05 4.355428940189921699e-08 3.394109732326680200e-09
2.220000000000000000e+02 2.192319350580823297e-05 2.012799473516553426e-05 4.306892979820404615e-08 3.382754016685462725e-09
2.230000000000000000e+02 2.178487992150170683e-05 2.003567313667997205e-05 4.258673339777280015e-08 3.371628484071735478e-09
2.240000000000000000e+02 2.164815527736437830e-05 1.994419629220546910e-05 4.210796654813431466e-08 3.360733255743195268e-09
2.250000000000000000e+02 2.151299370933088543e-05 1.985355230018618391e-05 4.163299677223664089e-08 3.350076641746377623e-09
2.260000000000000000e+02 2.137931722729905889e-05 1.976372953835695787e-05 4.116231408389369908e-08 3.339653299034802605e-09
2.270000000000000000e+02 2.124720682694194768e-05 1.967471664780730519e-05 4.069636536508568897e-08 3.329445798190368103e-09
2.280000000000000000e+02 2.111658508916567370e-05 1.958650251879413620e-05 4.023537833863017745e-08 3.319479829084099785e-09
2.290000000000000000e+02 2.098742822889367092e-05 1.949907627809062229e-05 3.977990238392397460e-08 3.309733422934098802e-09
2.300000000000000000e+02 2.085966209469697119e-05 1.941242727768156549e-05 3.933047605858544573e-08 3.300206293644348851e-09
2.310000000000000000e+02 2.073336601044113194e-05 1.932654508463628609e-05 3.888722097447213795e-08 3.290893754027757834e-09
